Order;Name;Extension;Date created;Folder Path;title;alt;meta;category
23;IMG_1691.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Procès en Appel de Marine Le Pen;Marine Le Pen impliqué dans l'affaire des emplois fictifs d'eurodéputés RN et FN au Palais de Justice. Içi le carré presse devant la salle d'audience.;Paris · 20 janvier 2026;Politique
24;IMG_1846.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;;;;
25;IMG_1847.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;;;;
26;IMG_1917.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Reportage à Rungis : Un boucher;Lors d'un reportage sur la vie nocturne de Rungis, un boucher se balade, blouse tachée de sang.;Rungis · 9 décembre 2025;Société
27;IMG_3548.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Stand de la série HPI à la Braderie de Lille;Opération promotionnelle de la série HPI mettant en vente de nombreux accessoires des tournages.;Lille · 7 novembre 2025;Culture
28;IMG_5390.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Corrida : Torreau dans une arène;"Torreau saignent à cause des ""picadorès"" en Espagne.";Ondara · 9 aôut 2025;Culture
29;P1031928.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Reportage à Rungis : Dock de chargement;Lors d'un reportage sur la vie nocturne de Rungis, les camions sur les docks pour acheter leurs fruits et légumes.;Rungis · 9 décembre 2025;Société
30;P1031986.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Studio EFJ;Console de réalisateur d'émission dans le studio EFJ à Rapail 1.;Paris · 4 février 2026;EFJ
31;P1031987.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Studio EFJ;Console de régiseur d'émission dans le studio EFJ à Rapail 1.;Paris · 4 février 2026;EFJ
32;P1032031.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Emmaüs Défi : collecte de mobilier;Des personnes en insértion professionnelle d'Emmaüs Défi collecte des meubles chez un donnateur.;Paris · 5 février 2026;Société
33;;;;;;;;
34;;;;;;;;
35;;;;;;;;
36;;;;;;;;
37;;;;;;;;
38;;;;;;;;
39;;;;;;;;
40;;;;;;;;
41;;;;;;;;
42;;;;;;;;
43;;;;;;;;
44;;;;;;;;
45;;;;;;;;
46;;;;;;;;
47;;;;;;;;
48;;;;;;;;
49;;;;;;;;
50;;;;;;;;
